Inference - 2020-08-03 21:27:23
save_image: False
border: False
model_path: ../pretrain_models/CDVD_TSP_GOPRO.pt
data_path: ../dataset/GOPRO/test
result_path: ../infer_results/GOPRO
n_seq: 5
size_must_mode: 4
device: cuda
Loading model from ../pretrain_models/CDVD_TSP_GOPRO.pt
> GOPR0384_11_00-000045 PSNR=34.167, SSIM=0.9535 pre_time:0.231s, forward_time:2.03s, post_time:1.17s, total_time:3.44s
> GOPR0384_11_00-000046 PSNR=34.996, SSIM=0.9615 pre_time:0.228s, forward_time:2.04s, post_time:1.17s, total_time:3.44s
> GOPR0384_11_00-000047 PSNR=33.395, SSIM=0.9552 pre_time:0.229s, forward_time:2.03s, post_time:1.19s, total_time:3.45s
> GOPR0384_11_00-000048 PSNR=31.001, SSIM=0.9404 pre_time:0.232s, forward_time:2.03s, post_time:1.17s, total_time:3.43s
> GOPR0384_11_00-000049 PSNR=35.842, SSIM=0.9665 pre_time:0.232s, forward_time:2.13s, post_time:1.17s, total_time:3.53s
> GOPR0384_11_00-000050 PSNR=35.523, SSIM=0.9693 pre_time:0.228s, forward_time:2.03s, post_time:1.17s, total_time:3.43s
> GOPR0384_11_00-000051 PSNR=35.279, SSIM=0.9636 pre_time:0.23s, forward_time:2.13s, post_time:1.18s, total_time:3.54s
> GOPR0384_11_00-000052 PSNR=34.271, SSIM=0.9554 pre_time:0.23s, forward_time:2.04s, post_time:1.19s, total_time:3.46s
> GOPR0384_11_00-000053 PSNR=33.976, SSIM=0.9529 pre_time:0.233s, forward_time:2.1s, post_time:1.18s, total_time:3.52s
> GOPR0384_11_00-000054 PSNR=33.831, SSIM=0.9534 pre_time:0.23s, forward_time:2.04s, post_time:1.19s, total_time:3.45s
> GOPR0384_11_00-000055 PSNR=34.161, SSIM=0.9515 pre_time:0.228s, forward_time:2.05s, post_time:1.17s, total_time:3.44s
> GOPR0384_11_00-000056 PSNR=34.182, SSIM=0.9537 pre_time:0.231s, forward_time:2.13s, post_time:1.18s, total_time:3.54s
> GOPR0384_11_00-000057 PSNR=34.165, SSIM=0.9526 pre_time:0.235s, forward_time:2.1s, post_time:1.2s, total_time:3.54s
> GOPR0384_11_00-000058 PSNR=34.354, SSIM=0.9591 pre_time:0.232s, forward_time:2.12s, post_time:1.21s, total_time:3.56s
> GOPR0384_11_00-000059 PSNR=33.377, SSIM=0.9467 pre_time:0.233s, forward_time:2.13s, post_time:1.23s, total_time:3.6s
> GOPR0384_11_00-000060 PSNR=33.302, SSIM=0.9523 pre_time:0.232s, forward_time:2.14s, post_time:1.22s, total_time:3.6s
> GOPR0384_11_00-000061 PSNR=32.731, SSIM=0.9392 pre_time:0.233s, forward_time:2.13s, post_time:1.19s, total_time:3.55s
> GOPR0384_11_00-000062 PSNR=31.844, SSIM=0.9355 pre_time:0.234s, forward_time:2.12s, post_time:1.21s, total_time:3.57s
> GOPR0384_11_00-000063 PSNR=33.236, SSIM=0.9447 pre_time:0.234s, forward_time:2.23s, post_time:1.2s, total_time:3.67s
> GOPR0384_11_00-000064 PSNR=34.868, SSIM=0.9653 pre_time:0.233s, forward_time:2.22s, post_time:1.19s, total_time:3.65s
> GOPR0384_11_00-000065 PSNR=33.201, SSIM=0.9435 pre_time:0.232s, forward_time:2.1s, post_time:1.18s, total_time:3.52s
> GOPR0384_11_00-000066 PSNR=32.759, SSIM=0.9319 pre_time:0.226s, forward_time:2.05s, post_time:1.18s, total_time:3.46s
> GOPR0384_11_00-000067 PSNR=32.989, SSIM=0.9367 pre_time:0.229s, forward_time:2.04s, post_time:1.17s, total_time:3.43s
> GOPR0384_11_00-000068 PSNR=35.423, SSIM=0.9593 pre_time:0.232s, forward_time:2.04s, post_time:1.19s, total_time:3.46s
> GOPR0384_11_00-000069 PSNR=36.6, SSIM=0.9724 pre_time:0.232s, forward_time:2.06s, post_time:1.19s, total_time:3.48s
> GOPR0384_11_00-000070 PSNR=34.479, SSIM=0.9546 pre_time:0.232s, forward_time:2.05s, post_time:1.19s, total_time:3.47s
> GOPR0384_11_00-000071 PSNR=35.045, SSIM=0.9625 pre_time:0.232s, forward_time:2.1s, post_time:1.17s, total_time:3.51s
> GOPR0384_11_00-000072 PSNR=35.672, SSIM=0.9598 pre_time:0.232s, forward_time:2.04s, post_time:1.18s, total_time:3.45s
> GOPR0384_11_00-000073 PSNR=35.14, SSIM=0.9576 pre_time:0.234s, forward_time:2.12s, post_time:1.16s, total_time:3.52s
> GOPR0384_11_00-000074 PSNR=33.82, SSIM=0.9499 pre_time:0.232s, forward_time:2.13s, post_time:1.17s, total_time:3.53s
> GOPR0384_11_00-000075 PSNR=34.025, SSIM=0.9563 pre_time:0.236s, forward_time:2.14s, post_time:1.19s, total_time:3.56s
> GOPR0384_11_00-000076 PSNR=25.935, SSIM=0.8466 pre_time:0.231s, forward_time:2.04s, post_time:1.17s, total_time:3.44s
> GOPR0384_11_00-000077 PSNR=32.813, SSIM=0.944 pre_time:0.231s, forward_time:2.12s, post_time:1.17s, total_time:3.53s
> GOPR0384_11_00-000078 PSNR=31.01, SSIM=0.9356 pre_time:0.23s, forward_time:2.13s, post_time:1.17s, total_time:3.53s
> GOPR0384_11_00-000079 PSNR=32.117, SSIM=0.9376 pre_time:0.232s, forward_time:2.06s, post_time:1.19s, total_time:3.48s
> GOPR0384_11_00-000080 PSNR=32.955, SSIM=0.945 pre_time:0.233s, forward_time:2.04s, post_time:1.17s, total_time:3.44s
> GOPR0384_11_00-000081 PSNR=30.035, SSIM=0.9226 pre_time:0.23s, forward_time:2.1s, post_time:1.16s, total_time:3.49s
> GOPR0384_11_00-000082 PSNR=33.635, SSIM=0.9498 pre_time:0.23s, forward_time:2.04s, post_time:1.17s, total_time:3.44s
> GOPR0384_11_00-000083 PSNR=33.037, SSIM=0.9436 pre_time:0.231s, forward_time:2.06s, post_time:1.17s, total_time:3.46s
> GOPR0384_11_00-000084 PSNR=29.704, SSIM=0.9217 pre_time:0.229s, forward_time:2.14s, post_time:1.17s, total_time:3.53s
> GOPR0384_11_00-000085 PSNR=31.911, SSIM=0.9408 pre_time:0.23s, forward_time:2.11s, post_time:1.19s, total_time:3.53s
> GOPR0384_11_00-000086 PSNR=25.75, SSIM=0.855 pre_time:0.23s, forward_time:2.08s, post_time:1.17s, total_time:3.49s
> GOPR0384_11_00-000087 PSNR=26.254, SSIM=0.8681 pre_time:0.233s, forward_time:2.13s, post_time:1.19s, total_time:3.55s
> GOPR0384_11_00-000088 PSNR=29.597, SSIM=0.9236 pre_time:0.232s, forward_time:2.11s, post_time:1.2s, total_time:3.54s
> GOPR0384_11_00-000089 PSNR=34.279, SSIM=0.9577 pre_time:0.235s, forward_time:2.13s, post_time:1.18s, total_time:3.55s
> GOPR0384_11_00-000090 PSNR=35.029, SSIM=0.9632 pre_time:0.231s, forward_time:2.07s, post_time:1.18s, total_time:3.48s
> GOPR0384_11_00-000091 PSNR=32.859, SSIM=0.9483 pre_time:0.231s, forward_time:2.1s, post_time:1.17s, total_time:3.51s
