Inference - 2020-08-05 10:46:56
save_image: False
border: False
model_path: ../pretrain_models/CDVD_TSP_DVD_Convergent.pt
data_path: ../dataset/DVD/test
result_path: ../infer_results/DVD
n_seq: 5
size_must_mode: 4
device: cuda
Loading model from ../pretrain_models/CDVD_TSP_DVD_Convergent.pt
> 720p_240fps_2-00044 PSNR=33.636, SSIM=0.9341 pre_time:0.124s, forward_time:2.03s, post_time:1.17s, total_time:3.33s
> 720p_240fps_2-00045 PSNR=30.698, SSIM=0.8973 pre_time:0.128s, forward_time:2.03s, post_time:1.17s, total_time:3.33s
> 720p_240fps_2-00046 PSNR=31.961, SSIM=0.9064 pre_time:0.126s, forward_time:2.11s, post_time:1.17s, total_time:3.4s
> 720p_240fps_2-00047 PSNR=30.963, SSIM=0.8877 pre_time:0.126s, forward_time:2.03s, post_time:1.17s, total_time:3.33s
> 720p_240fps_2-00048 PSNR=30.048, SSIM=0.8859 pre_time:0.126s, forward_time:2.13s, post_time:1.17s, total_time:3.43s
> 720p_240fps_2-00049 PSNR=31.704, SSIM=0.9132 pre_time:0.132s, forward_time:2.03s, post_time:1.17s, total_time:3.34s
> 720p_240fps_2-00050 PSNR=31.37, SSIM=0.9145 pre_time:0.13s, forward_time:2.12s, post_time:1.17s, total_time:3.43s
> 720p_240fps_2-00051 PSNR=33.421, SSIM=0.938 pre_time:0.127s, forward_time:2.03s, post_time:1.17s, total_time:3.33s
> 720p_240fps_2-00052 PSNR=32.502, SSIM=0.926 pre_time:0.135s, forward_time:2.13s, post_time:1.18s, total_time:3.44s
> 720p_240fps_2-00053 PSNR=29.578, SSIM=0.8689 pre_time:0.14s, forward_time:2.04s, post_time:1.17s, total_time:3.35s
> 720p_240fps_2-00054 PSNR=30.094, SSIM=0.8689 pre_time:0.139s, forward_time:2.1s, post_time:1.18s, total_time:3.42s
> 720p_240fps_2-00055 PSNR=31.419, SSIM=0.9009 pre_time:0.129s, forward_time:2.04s, post_time:1.19s, total_time:3.36s
> 720p_240fps_2-00056 PSNR=30.035, SSIM=0.8952 pre_time:0.131s, forward_time:2.05s, post_time:1.17s, total_time:3.35s
> 720p_240fps_2-00057 PSNR=29.796, SSIM=0.8845 pre_time:0.127s, forward_time:2.04s, post_time:1.16s, total_time:3.33s
> 720p_240fps_2-00058 PSNR=33.513, SSIM=0.9299 pre_time:0.139s, forward_time:2.14s, post_time:1.19s, total_time:3.46s
> 720p_240fps_2-00059 PSNR=33.413, SSIM=0.9315 pre_time:0.129s, forward_time:2.04s, post_time:1.18s, total_time:3.34s
> 720p_240fps_2-00060 PSNR=32.547, SSIM=0.9238 pre_time:0.128s, forward_time:2.12s, post_time:1.19s, total_time:3.44s
> 720p_240fps_2-00061 PSNR=31.623, SSIM=0.9119 pre_time:0.142s, forward_time:2.05s, post_time:1.18s, total_time:3.37s
> 720p_240fps_2-00062 PSNR=32.057, SSIM=0.912 pre_time:0.138s, forward_time:2.04s, post_time:1.19s, total_time:3.37s
