Inference - 2021-07-10 01:06:46
save_image: False
border: False
model_path: ..\pretrain_models\CDVD_TSP_DVD_Convergent.pt
data_path: ..\dataset\DVD\test
result_path: ..\infer_results\DVD_S7
n_seq: 7
size_must_mode: 4
device: cuda
Loading model from ..\pretrain_models\CDVD_TSP_DVD_Convergent.pt
> 720p_240fps_2-00045 PSNR=30.482, SSIM=0.8941 pre_time:0.414s, forward_time:5.05s, post_time:2.49s, total_time:7.96s
> 720p_240fps_2-00046 PSNR=31.42, SSIM=0.9006 pre_time:0.475s, forward_time:5.12s, post_time:2.43s, total_time:8.02s
> 720p_240fps_2-00047 PSNR=30.688, SSIM=0.8874 pre_time:0.488s, forward_time:5.19s, post_time:2.38s, total_time:8.06s
> 720p_240fps_2-00048 PSNR=29.692, SSIM=0.8853 pre_time:0.466s, forward_time:5.14s, post_time:2.28s, total_time:7.89s
> 720p_240fps_2-00049 PSNR=31.163, SSIM=0.9068 pre_time:0.475s, forward_time:5.13s, post_time:2.33s, total_time:7.94s
> 720p_240fps_2-00050 PSNR=30.685, SSIM=0.9073 pre_time:0.485s, forward_time:5.1s, post_time:2.35s, total_time:7.94s
> 720p_240fps_2-00051 PSNR=32.896, SSIM=0.933 pre_time:0.492s, forward_time:5.09s, post_time:2.3s, total_time:7.88s
> 720p_240fps_2-00052 PSNR=32.47, SSIM=0.9256 pre_time:0.411s, forward_time:5.2s, post_time:2.43s, total_time:8.04s
> 720p_240fps_2-00053 PSNR=29.269, SSIM=0.8595 pre_time:0.5s, forward_time:5.13s, post_time:2.37s, total_time:8.0s
> 720p_240fps_2-00054 PSNR=30.367, SSIM=0.8765 pre_time:0.423s, forward_time:5.18s, post_time:2.39s, total_time:7.99s
> 720p_240fps_2-00055 PSNR=30.998, SSIM=0.8926 pre_time:0.47s, forward_time:5.12s, post_time:2.32s, total_time:7.92s
> 720p_240fps_2-00056 PSNR=29.477, SSIM=0.8866 pre_time:0.506s, forward_time:5.16s, post_time:2.4s, total_time:8.07s
> 720p_240fps_2-00057 PSNR=29.302, SSIM=0.8725 pre_time:0.457s, forward_time:5.12s, post_time:2.25s, total_time:7.83s
> 720p_240fps_2-00058 PSNR=32.556, SSIM=0.9204 pre_time:0.429s, forward_time:5.06s, post_time:2.38s, total_time:7.87s
> 720p_240fps_2-00059 PSNR=32.55, SSIM=0.9225 pre_time:0.448s, forward_time:5.11s, post_time:2.26s, total_time:7.82s
> 720p_240fps_2-00060 PSNR=31.682, SSIM=0.9118 pre_time:0.649s, forward_time:5.18s, post_time:2.65s, total_time:8.47s
> 720p_240fps_2-00061 PSNR=30.752, SSIM=0.8977 pre_time:0.69s, forward_time:5.11s, post_time:2.31s, total_time:8.11s
> 720p_240fps_2-00062 PSNR=31.607, SSIM=0.9086 pre_time:0.456s, forward_time:5.06s, post_time:2.26s, total_time:7.78s
> 720p_240fps_2-00063 PSNR=31.381, SSIM=0.9028 pre_time:0.418s, forward_time:5.17s, post_time:2.35s, total_time:7.94s
> 720p_240fps_2-00064 PSNR=31.163, SSIM=0.9041 pre_time:0.418s, forward_time:5.13s, post_time:2.26s, total_time:7.8s
> 720p_240fps_2-00065 PSNR=32.153, SSIM=0.9135 pre_time:0.483s, forward_time:5.1s, post_time:2.26s, total_time:7.84s
> 720p_240fps_2-00066 PSNR=30.084, SSIM=0.896 pre_time:0.43s, forward_time:5.07s, post_time:2.25s, total_time:7.74s
> 720p_240fps_2-00067 PSNR=32.076, SSIM=0.9208 pre_time:0.445s, forward_time:5.31s, post_time:2.74s, total_time:8.5s
> 720p_240fps_2-00068 PSNR=32.045, SSIM=0.9162 pre_time:0.535s, forward_time:5.38s, post_time:2.38s, total_time:8.29s
> 720p_240fps_2-00069 PSNR=31.152, SSIM=0.8964 pre_time:0.423s, forward_time:5.08s, post_time:2.53s, total_time:8.04s
> 720p_240fps_2-00070 PSNR=27.555, SSIM=0.8087 pre_time:0.495s, forward_time:5.35s, post_time:2.45s, total_time:8.29s
> 720p_240fps_2-00071 PSNR=26.888, SSIM=0.7832 pre_time:0.458s, forward_time:5.16s, post_time:2.34s, total_time:7.96s
