Inference - 2021-07-09 17:16:14
save_image: False
border: False
model_path: ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
data_path: ..\dataset\DVD\test
result_path: ..\infer_results\DVD_OCLR_S5
n_seq: 5
size_must_mode: 4
device: cuda
Loading model from ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
> 720p_240fps_2-00002 PSNR=30.721, SSIM=0.9216 pre_time:0.269s, forward_time:6.57s, post_time:2.04s, total_time:8.88s
> 720p_240fps_2-00003 PSNR=31.927, SSIM=0.9401 pre_time:0.243s, forward_time:1.93s, post_time:2.16s, total_time:4.33s
> 720p_240fps_2-00004 PSNR=28.955, SSIM=0.9148 pre_time:0.227s, forward_time:1.92s, post_time:1.97s, total_time:4.12s
> 720p_240fps_2-00005 PSNR=31.665, SSIM=0.935 pre_time:0.229s, forward_time:1.91s, post_time:2.07s, total_time:4.21s
> 720p_240fps_2-00006 PSNR=32.842, SSIM=0.9441 pre_time:0.247s, forward_time:1.91s, post_time:1.97s, total_time:4.13s
> 720p_240fps_2-00007 PSNR=28.283, SSIM=0.8902 pre_time:0.212s, forward_time:1.93s, post_time:1.95s, total_time:4.09s
> 720p_240fps_2-00008 PSNR=26.386, SSIM=0.8378 pre_time:0.216s, forward_time:1.93s, post_time:2.01s, total_time:4.15s
> 720p_240fps_2-00009 PSNR=26.988, SSIM=0.8562 pre_time:0.229s, forward_time:1.91s, post_time:1.97s, total_time:4.1s
> 720p_240fps_2-00010 PSNR=28.211, SSIM=0.8925 pre_time:0.225s, forward_time:1.91s, post_time:1.96s, total_time:4.1s
> 720p_240fps_2-00011 PSNR=29.278, SSIM=0.9096 pre_time:0.226s, forward_time:1.92s, post_time:1.98s, total_time:4.13s
> 720p_240fps_2-00012 PSNR=30.465, SSIM=0.924 pre_time:0.232s, forward_time:1.93s, post_time:1.98s, total_time:4.14s
> 720p_240fps_2-00013 PSNR=29.46, SSIM=0.9094 pre_time:0.247s, forward_time:1.91s, post_time:1.92s, total_time:4.08s
> 720p_240fps_2-00014 PSNR=29.999, SSIM=0.9129 pre_time:0.233s, forward_time:1.9s, post_time:2.01s, total_time:4.14s
> 720p_240fps_2-00015 PSNR=29.268, SSIM=0.9057 pre_time:0.232s, forward_time:1.91s, post_time:2.0s, total_time:4.13s
> 720p_240fps_2-00016 PSNR=26.922, SSIM=0.8628 pre_time:0.245s, forward_time:1.93s, post_time:1.99s, total_time:4.16s
> 720p_240fps_2-00017 PSNR=28.115, SSIM=0.8911 pre_time:0.234s, forward_time:1.91s, post_time:2.0s, total_time:4.14s
> 720p_240fps_2-00018 PSNR=32.828, SSIM=0.9429 pre_time:0.217s, forward_time:1.92s, post_time:1.96s, total_time:4.1s
> 720p_240fps_2-00019 PSNR=33.027, SSIM=0.9447 pre_time:0.231s, forward_time:1.92s, post_time:1.96s, total_time:4.11s
