Inference - 2021-07-09 19:15:28
save_image: False
border: False
model_path: ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
data_path: ..\dataset\DVD\test
result_path: ..\infer_results\DVD_OCLR_S3
n_seq: 3
size_must_mode: 4
device: cuda
Loading model from ..\pretrain_models\CDVD_TSP_DVD_OCLR_S3_720.pt
> 720p_240fps_2-00043 PSNR=32.685, SSIM=0.927 pre_time:0.174s, forward_time:0.275s, post_time:2.05s, total_time:2.49s
> 720p_240fps_2-00044 PSNR=31.435, SSIM=0.9101 pre_time:0.145s, forward_time:0.278s, post_time:2.03s, total_time:2.46s
> 720p_240fps_2-00045 PSNR=28.352, SSIM=0.8547 pre_time:0.149s, forward_time:0.272s, post_time:2.06s, total_time:2.48s
> 720p_240fps_2-00046 PSNR=30.774, SSIM=0.8863 pre_time:0.164s, forward_time:0.269s, post_time:2.05s, total_time:2.49s
> 720p_240fps_2-00047 PSNR=29.442, SSIM=0.8623 pre_time:0.162s, forward_time:0.283s, post_time:2.06s, total_time:2.51s
> 720p_240fps_2-00048 PSNR=28.913, SSIM=0.8599 pre_time:0.144s, forward_time:0.272s, post_time:2.04s, total_time:2.46s
> 720p_240fps_2-00049 PSNR=31.168, SSIM=0.8956 pre_time:0.152s, forward_time:0.273s, post_time:2.01s, total_time:2.43s
> 720p_240fps_2-00050 PSNR=30.691, SSIM=0.9063 pre_time:0.15s, forward_time:0.269s, post_time:2.03s, total_time:2.45s
> 720p_240fps_2-00051 PSNR=32.967, SSIM=0.934 pre_time:0.142s, forward_time:0.287s, post_time:2.04s, total_time:2.47s
> 720p_240fps_2-00052 PSNR=32.182, SSIM=0.921 pre_time:0.153s, forward_time:0.269s, post_time:2.09s, total_time:2.52s
> 720p_240fps_2-00053 PSNR=27.746, SSIM=0.8166 pre_time:0.149s, forward_time:0.278s, post_time:2.04s, total_time:2.46s
> 720p_240fps_2-00054 PSNR=29.371, SSIM=0.8458 pre_time:0.144s, forward_time:0.273s, post_time:2.01s, total_time:2.42s
