Inference - 2021-07-10 03:17:50
save_image: False
border: False
model_path: ..\pretrain_models\CDVD_TSP_DVD_Convergent.pt
data_path: ..\dataset\DVD\test
result_path: ..\infer_results\DVD_S3
n_seq: 3
size_must_mode: 4
device: cuda
Loading model from ..\pretrain_models\CDVD_TSP_DVD_Convergent.pt
> 720p_240fps_2-00001 PSNR=33.643, SSIM=0.9356 pre_time:1.08s, forward_time:6.81s, post_time:2.4s, total_time:10.3s
> 720p_240fps_2-00002 PSNR=33.625, SSIM=0.9438 pre_time:0.179s, forward_time:0.314s, post_time:2.62s, total_time:3.12s
> 720p_240fps_2-00003 PSNR=35.095, SSIM=0.9513 pre_time:0.223s, forward_time:0.356s, post_time:2.7s, total_time:3.27s
> 720p_240fps_2-00004 PSNR=33.639, SSIM=0.9403 pre_time:0.244s, forward_time:0.356s, post_time:2.87s, total_time:3.47s
> 720p_240fps_2-00005 PSNR=34.975, SSIM=0.9487 pre_time:0.207s, forward_time:0.333s, post_time:2.88s, total_time:3.42s
> 720p_240fps_2-00006 PSNR=36.236, SSIM=0.9563 pre_time:0.244s, forward_time:0.336s, post_time:2.97s, total_time:3.55s
> 720p_240fps_2-00007 PSNR=34.716, SSIM=0.9442 pre_time:0.192s, forward_time:0.297s, post_time:2.85s, total_time:3.34s
> 720p_240fps_2-00008 PSNR=32.806, SSIM=0.9224 pre_time:0.189s, forward_time:0.339s, post_time:2.45s, total_time:2.98s
> 720p_240fps_2-00009 PSNR=33.301, SSIM=0.9275 pre_time:0.179s, forward_time:0.307s, post_time:2.43s, total_time:2.92s
> 720p_240fps_2-00010 PSNR=34.191, SSIM=0.9377 pre_time:0.207s, forward_time:0.328s, post_time:2.54s, total_time:3.07s
> 720p_240fps_2-00011 PSNR=35.214, SSIM=0.9478 pre_time:0.215s, forward_time:0.314s, post_time:2.44s, total_time:2.96s
> 720p_240fps_2-00012 PSNR=35.62, SSIM=0.9502 pre_time:0.166s, forward_time:0.294s, post_time:2.25s, total_time:2.71s
> 720p_240fps_2-00013 PSNR=33.977, SSIM=0.9404 pre_time:0.181s, forward_time:0.322s, post_time:2.27s, total_time:2.77s
> 720p_240fps_2-00014 PSNR=35.185, SSIM=0.9454 pre_time:0.184s, forward_time:0.289s, post_time:2.23s, total_time:2.71s
> 720p_240fps_2-00015 PSNR=33.863, SSIM=0.9347 pre_time:0.19s, forward_time:0.313s, post_time:2.18s, total_time:2.68s
> 720p_240fps_2-00016 PSNR=33.143, SSIM=0.9245 pre_time:0.195s, forward_time:0.313s, post_time:2.42s, total_time:2.93s
> 720p_240fps_2-00017 PSNR=32.166, SSIM=0.9243 pre_time:0.19s, forward_time:0.312s, post_time:2.25s, total_time:2.75s
> 720p_240fps_2-00018 PSNR=35.367, SSIM=0.9528 pre_time:0.191s, forward_time:0.307s, post_time:2.47s, total_time:2.97s
> 720p_240fps_2-00019 PSNR=35.263, SSIM=0.9523 pre_time:0.176s, forward_time:0.307s, post_time:2.38s, total_time:2.87s
> 720p_240fps_2-00020 PSNR=34.633, SSIM=0.9409 pre_time:0.177s, forward_time:0.309s, post_time:2.38s, total_time:2.86s
> 720p_240fps_2-00021 PSNR=32.994, SSIM=0.9231 pre_time:0.163s, forward_time:0.296s, post_time:2.25s, total_time:2.71s
> 720p_240fps_2-00022 PSNR=33.478, SSIM=0.9312 pre_time:0.17s, forward_time:0.32s, post_time:2.16s, total_time:2.65s
> 720p_240fps_2-00023 PSNR=36.061, SSIM=0.9517 pre_time:0.161s, forward_time:0.305s, post_time:2.16s, total_time:2.63s
> 720p_240fps_2-00024 PSNR=37.52, SSIM=0.9612 pre_time:0.201s, forward_time:0.288s, post_time:2.18s, total_time:2.67s
> 720p_240fps_2-00025 PSNR=35.701, SSIM=0.9486 pre_time:0.227s, forward_time:0.32s, post_time:2.19s, total_time:2.73s
> 720p_240fps_2-00026 PSNR=33.07, SSIM=0.935 pre_time:0.155s, forward_time:0.302s, post_time:2.25s, total_time:2.7s
> 720p_240fps_2-00027 PSNR=35.363, SSIM=0.9502 pre_time:0.176s, forward_time:0.299s, post_time:2.25s, total_time:2.72s
> 720p_240fps_2-00028 PSNR=34.389, SSIM=0.9369 pre_time:0.189s, forward_time:0.301s, post_time:2.22s, total_time:2.71s
